Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3323;Mantua;;;;;;;;x
PROV3324;Tarvisio;;;;;;;;x
PROV3325;Zaqatala;;;;;;;;x
PROV3326;Sochi;;;;;;;;x
PROV3327;Fraustadt;;;;;;;;x
PROV3328;Guben;;;;;;;;x
PROV3329;Lauenburg;;;;;;;;x
PROV3330;Cakovec;;;;;;;;x
PROV3331;Karanac;;;;;;;;x
PROV3332;Murska Sobota;;;;;;;;x
PROV3333;Hinche;;;;;;;;x
PROV3334;Corumba;;;;;;;;x
PROV3335;Sagan;;;;;;;;x
PROV3336;Yartsevo;;;;;;;;x
PROV3337;Taftan;;;;;;;;x
